ँ,n
ं,n
ः,a
अ,a
आ,aa
इ,i
ई,ee
उ,u
ऊ,oo
ऋ,ri
ए,e
ऐ,ae
ओ,o
औ,au
ा,a
ि,i
ी,i
ु,u
ू,oo
ृ,ri
े,e
ै,ai
ो,o
ौ,au
